product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P121;lapte integral;lactate;Zuzu;1;l;6.10;RON
P122;făină albă 000;alimente de bază;Băneasa;1;kg;3.40;RON
P123;pere Conference;legume și fructe;Generic;1;kg;4.60;RON
P124;șampon fortifiant;îngrijire personală;Head & Shoulders;400;ml;17.90;RON
P125;apă minerală carbogazoasă;băuturi;Borsec;2;l;2.80;RON
P126;detergent pudră;produse de menaj;Ariel;3;kg;33.00;RON
P127;ciocolată cu lapte;dulciuri;Milka;100;g;5.40;RON
P128;ulei de floarea-soarelui;alimente de bază;Bunica;1;l;8.50;RON
P129;smântână 20%;lactate;Napolact;0.4;kg;5.30;RON
P130;bere blondă;băuturi;Timișoreana;0.5;l;3.00;RON
