product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P101;lapte integral;lactate;Zuzu;1;l;6.40;RON
P102;făină albă 000;alimente de bază;Băneasa;1;kg;3.60;RON
P103;pere Conference;legume și fructe;Generic;1;kg;4.90;RON
P104;șampon fortifiant;îngrijire personală;Head & Shoulders;400;ml;18.50;RON
P105;apă minerală carbogazoasă;băuturi;Borsec;2;l;2.90;RON
P106;detergent pudră;produse de menaj;Ariel;3;kg;35.00;RON
P107;ciocolată cu lapte;dulciuri;Milka;100;g;5.60;RON
P108;ulei de floarea-soarelui;alimente de bază;Bunica;1;l;8.80;RON
P109;smântână 20%;lactate;Napolact;0.4;kg;5.50;RON
P110;bere blondă;băuturi;Timișoreana;0.5;l;3.20;RON
